Institution,School Type,Rank,Enrollment,Acceptance Rate,Average HS GPA,Engineering Rep Score,Business Rep Score,Computer Science Rep Score,25th Percentile SAT Score,75th Percentile SAT Score
Abilene Christian University,national-universities,250,3560,70.0,3.7,2.6,2.0,1,1050,1280
Adelphi University,national-universities,182,5251,77.0,3.7,,2.3,,1080,1310
Agnes Scott College,national-liberal-arts-colleges,63,1063,70.0,3.8,,,,1140,1400
Alabama State University,national-universities,385,3499,98.0,2.9,,,1,839,1050
Albion College,national-liberal-arts-colleges,136,1523,73.0,3.4,,,,1000,1250
Albright College,national-liberal-arts-colleges,178,1375,76.0,3.0,,,,1020,1220
Allegheny College,national-liberal-arts-colleges,76,1575,75.0,3.5,,,1,1140,1350
Allen University,national-liberal-arts-colleges,178,563,57.0,,,,,699,821
Alliant International University,national-universities,385,178,38.0,,,,,,
Alvernia University,national-universities,317,2032,58.0,3.5,,,,1000,1200
American International College,national-universities,385,1381,69.0,,,,,890,1100
American University,national-universities,72,8463,64.0,,,3.1,,1280,1440
Amherst College,national-liberal-arts-colleges,2,1971,9.0,,,,3.0,1440,1570
Andrews University,national-universities,299,1358,82.0,3.6,1,,,1050,1300
Aquinas College,national-liberal-arts-colleges,149,1238,89.0,3.5,,,,1000,1170
Arizona State University,national-universities,121,64716,88.0,3.5,3.5,3.8,3.6,1120,1380
Arkansas State University,national-universities,317,8241,63.0,3.7,2.7,2.4,,1030,1200
Auburn University,national-universities,97,24931,71.0,3.9,3.0,3.4,3.0,1170,1350
Augustana College,national-liberal-arts-colleges,94,2338,69.0,3.5,,,,1080,1270
Augusta University,national-universities,385,5496,73.0,,,2.0,1,1080,1300
Aurora University,national-universities,385,4158,84.0,,,,1,980,1140
Austin College,national-liberal-arts-colleges,107,1212,43.0,3.6,,,,1120,1340
Ave Maria University,national-liberal-arts-colleges,178,1245,49.0,3.6,,,,1018,1240
Azusa Pacific University,national-universities,263,3940,94.0,3.7,,,,976,1256
Baker University,national-universities,285,1147,99.0,3.5,,,,970,1130
Ball State University,national-universities,212,13916,68.0,3.5,,2.7,2.1,1010,1210
Bard College,national-liberal-arts-colleges,60,1852,60.0,,,,,1296,1468
Barnard College,national-liberal-arts-colleges,18,3043,11.0,,,,,1425,1550
Barry University,national-universities,385,3332,64.0,3.6,,2.0,1,890,1082
Bates College,national-liberal-arts-colleges,25,1821,17.0,,,,,1260,1470
Baylor University,national-universities,77,15191,57.0,,2.5,3.3,2.7,1160,1350
Belhaven University,national-universities,385,1713,64.0,3.5,,,,980,1260
Bellarmine University,national-universities,234,2407,86.0,3.5,,2.2,,1110,1280
Belmont University,national-universities,182,7069,88.0,3.8,,2.6,,1150,1340
Beloit College,national-liberal-arts-colleges,81,1011,67.0,3.3,,,,1200,1390
Bennett College,national-liberal-arts-colleges,178,232,73.0,,,,,,
Bennington College,national-liberal-arts-colleges,84,771,67.0,3.4,,,,1210,1420
Berea College,national-liberal-arts-colleges,26,1468,33.0,3.6,,,,1118,1268
Bethany College (WV),national-liberal-arts-colleges,178,569,92.0,,,,,850,1090
Bethany Lutheran College,national-liberal-arts-colleges,178,781,61.0,3.5,,,,950,1170
Bethel University (MN),national-universities,212,2587,89.0,3.6,,,,1123,1343
Bethune-Cookman University,national-liberal-arts-colleges,178,2513,100.0,3.3,2.2,,,820,990
Binghamton University--SUNY,national-universities,83,14307,44.0,3.9,2.6,3.0,2.9,1310,1470
Biola University,national-universities,194,3596,61.0,3.6,,,,1103,1348
Birmingham-Southern College,national-liberal-arts-colleges,111,1058,66.0,3.7,,,,1090,1240
Bloomfield College,national-liberal-arts-colleges,178,1299,84.0,2.7,,,,817,1064
Boise State University,national-universities,385,22433,83.0,3.5,2.4,2.8,2.5,980,1200
Boston College,national-universities,36,9532,19.0,,,3.7,3.0,1420,1530
Boston University,national-universities,41,18229,19.0,3.8,3.3,3.5,3.4,1360,1520
Bowdoin College,national-liberal-arts-colleges,6,1951,9.0,,,,2.4,1320,1520
Bowling Green State University,national-universities,263,14465,79.0,3.6,2.7,2.7,2.1,1020,1210
Bradley University,national-universities,166,4331,76.0,3.8,3.4,2.5,2.0,1060,1280
Brandeis University,national-universities,44,3591,39.0,3.8,,3.1,2.9,1370,1530
Brenau University,national-universities,385,1427,89.0,3.4,,,,1000,1130
Briar Cliff University,national-universities,385,766,96.0,3.4,,,,940,1190
Bridgewater College,national-liberal-arts-colleges,178,1427,75.0,,,,,1065,1250
Brigham Young University--Provo,national-universities,89,31633,59.0,3.8,2.6,3.5,2.9,1220,1440
Brown University,national-universities,13,7349,6.0,,3.5,,4.1,1460,1570
Bryn Athyn College of the New Church,national-liberal-arts-colleges,178,244,91.0,2.9,,,,958,1278
Bryn Mawr College,national-liberal-arts-colleges,31,1425,39.0,,,,,1260,1490
Bucknell University,national-liberal-arts-colleges,37,3724,35.0,3.6,4.2,3.0,2.8,1210,1410
California Institute of Technology,national-universities,9,987,4.0,,4.6,,4.5,1530,1580
